,Level 1 Movement(0-5),Level 1 Attack(0-5),Level 1 Defense(0-5),Level 1 Health(1-100),Special Attack 1(1-10)min damage,Special Attack 1(1-10)max damage,Special Attack 2(1-10)min damage,Special Attack 2(1-10)max damage,Population Cost,Summoning Cost,Min Attack Range(1-15),Max Attack Range(1-15),Experience when killed,Special Attack 1 Range min(1-10),Special Attack 1 Range max(1-10),Special Attack 2 Range min(1-10),Special Attack 2 Range max(1-10),Evasion %,Armor(Y or N),Accuracy %,Critical Hit %,Critical Damage %,Level 1 Weapon Damage,Level 2 Weapon Damage,Level 3 Weapon Damage,Level 2 Health,Level 3 Health,Level 2 Movement,Level 3 Movement,Level 2 Defense,Level 3 Defense,Level 2 Attack,Level 3 Attack,Damage Reduction
Horror,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Werewolf,3,4,1,10,2,4,3,8,2,2,1,1,,1,2,1,3,,,,,,3,4,5,16,26,4,5,2,2,5,6,1
Skeleton,4,3,1,10,2,5,1,3,2,2,3,7,,1,4,1,4,,,,,,2,3,4,14,20,5,6,1,2,4,5,1
Hellhound,2,5,2,10,1,3,1,5,4,3,1,2,,2,3,1,3,,,,,,4,5,6,19,36,3,4,2,3,6,7,1
Gargoyle,2,3,1,10,1,6,1,2,2,2,7,12,,1,10,0,0,,,,,,2,3,4,17,29,3,4,1,1,4,5,1
Grim,0,5,2,100,3,8,4,9,0,0,1,5,0,1,5,1,5,,,,,,4,5,6,100,100,0,0,0,0,6,7,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mythos,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
Unicorn Knight,3,4,3,10,2,4,3,8,2,2,1,1,,1,2,1,3,,,,,,3,4,5,16,26,4,5,4,5,5,6,
Kitsune,4,3,2,10,2,5,1,2,2,2,3,7,,1,4,1,4,,,,,,2,3,4,14,20,5,6,3,4,4,5,
Minotaur,2,5,4,10,1,2,1,5,4,3,1,2,,2,3,1,3,,,,,,4,5,6,19,36,3,4,5,6,6,7,
Phoenix,2,3,2,10,1,6,1,2,2,2,7,12,,1,10,0,0,,,,,,2,3,4,17,29,3,4,3,4,4,5,
Valkyrie,0,5,5,100,3,7,4,9,0,0,1,5,0,1,5,1,5,,,,,,4,5,6,100,100,0,0,6,7,6,7,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Etc.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wall,0,0,2,50,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,
